"Clientes-Produtores","Dia","Prod1","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","Prod12"
"C4",4,0,0,0,0,0,0,0,0,0,0,0,0
"C5",4,0,0,0,0,2,1,0,0,0,0,0,4.5
"C6",4,0,0,7.5,8,0,0,0,0,0,5,7.5,0
"C7",4,0,0,0,0,0,0,0,0,0,0,0,0
"C8",4,0,0,0,0,0,0,0,0,0,0,0,0
"C9",4,0,0,0,0,0,0,0,0,0,0,0,0
"C1",5,8,7,9,0,0,0,1.5,6,0,3,6.5,3.5
"C2",5,0,0,0,0,0,0,0,0,0,0,0,0
"C3",5,0,5,0,0,0,5,4.5,0,0,5,2.5,0
"C4",5,0,0,0,0,0,0,0,0,0,0,0,0
"C5",5,6.5,5,9.5,6,0,6.5,5,7,7.5,5,0,2.5
"C6",5,0,0,0,0,1,0,4.5,6,0,0,2,0
"C7",5,7,0,0,0,0.5,1.5,0,7.5,10,6,9,5
"C8",5,0,0,0,0,0,0,0,0,0,0,0,0
"C9",5,1.5,6.5,0,3,0,3.5,0,0,0,0,0,0
"E1",1,0,0,0,0,0,0,0,0,0,0,0,0
"E2",1,9,6,9,0,6,8.5,7.5,0,2.5,4.5,3,0
"E3",1,0,0,0,0,0,10,0,0,5,0,5.5,0
"E4",1,6.5,0,6.5,0,1,0,0,0,0,1,5.5,0
"E5",1,0,1.5,0,0,0,8,9.5,0,0,0,6,0
"E1",2,0,0,0,4.5,0,0,0,3,0,9.5,2.5,3
"E2",2,0,0,0,0,9.5,2,0,0,0,0,9,9
"E3",2,0,0,0,0,0,0,0,0,0,0,0,0
"E4",2,0,0,0,0,0,0,0,0,0,0,0,0
"E5",2,8.5,5,0,3.5,0,5,1,9.5,0,0,1.5,2.5
"E1",3,0,6.5,9.5,3,0,9.5,0,6,5,7.5,0,5
"E2",3,8,0,0,0,0,0,0,0,2.5,0,5.5,3.5
"E3",3,0,0,0,0,0,0,0,0,0,0,0,0
"E4",3,0,1.5,0,0,0,2,6.5,2.5,0,0,0,0
"E5",3,1,0,0,4.5,1,0,0,0,0,0,2.5,8.5
"E1",4,0,0,0,6.5,7.5,7,7,0,0,5.5,0,0
"E2",4,0,0,7.5,0,0,0,3.5,0,6,0,3.5,0
"E3",4,0,0,9.5,10,0,0,0,0,0,8,0,3
"E4",4,0,0,0,0,0,0,0,0,0,0,0,0
"E5",4,0,0,0,0,0,0,0,0,0,0,0,0
"E1",5,0,2,7,7.5,3,8.5,0,1.5,8.5,8,4,9.5
"E2",5,0,0,0,0,0,0,0,0,0,0,0,0
"E3",5,0,0,7.5,5.5,0,9,2,0,8,0,0,0
"E4",5,0,0,0,4.5,3,4,0,0,5.5,1,0,0
"E5",5,6,0,0,0,0,0,8.5,2,8.5,10,0,1.5
"P1",1,0,7.5,9,2,6,0,8.5,3,3.5,9,1,0
"P1",2,3,0,0,0,4.5,4,0,4,5,0,0,2.5
"P1",3,0,1.5,6,0,0,4.5,1,3,0,0,0,2.5
"P1",4,3.5,1.5,8,8,3.5,1,8.5,8.5,6,4,0,0
"P1",5,8.5,8,0,1,0,7,0,4.5,0,0,10,0
"P2",1,7.5,6.5,1.5,7,4,2.5,4.5,3.5,1,0,0,0
"P2",2,0,0,2.5,0,5,7.5,8.5,0,3,0,0,8.5
"P2",3,6,0,6,1.5,4,0,6,8.5,0,3,1.5,0
"P2",4,0,0,0,0,0,0,0,0,0,0,0,0
"P2",5,2,5.5,0,0,1,0,3,1.5,5,7,4,10
"P3",1,2.5,2,0,0,1.5,8,9,6,3.5,4,3,2.5
"P3",2,9.5,0,4.5,4.5,0,0,0,0,8.5,7.5,0,0
"P3",3,7.5,0,0,8.5,2.5,7,5,0,0,1,6,0
"P3",4,0,0,0,0,0,0,0,0,0,0,0,0
"P3",5,0,0,0,7.5,0,0,0,4,6.5,0,8.5,4.5
